tick,agent_id,cash,food,grain
0,4,100,3,37
0,3,100,9,27
0,2,100,2,16
0,7,100,8,26
0,9,100,9,31
0,1,100,4,20
0,8,100,3,23
0,0,100,9,21
0,6,100,6,18
0,5,100,2,20
1,4,100,2,47
1,3,100,6,37
1,2,100,1,26
1,7,100,5,36
1,9,100,6,41
1,1,100,3,30
1,8,100,2,33
1,0,100,6,31
1,6,100,3,28
1,5,100,1,30
2,4,100,1,57
2,3,100,3,47
2,7,100,3,46
2,9,100,3,51
2,1,100,2,40
2,8,100,1,43
2,0,100,3,41
2,6,100,2,38
3,3,100,2,57
3,7,100,2,56
3,9,100,2,61
3,1,100,1,50
3,0,100,2,51
3,6,100,1,48
4,3,100,1,67
4,7,100,1,66
4,9,100,1,71
4,0,100,1,61
