tick,task_name,task_value,revenue,cost,agent_id
0,Farm,30,30,0,4
0,Farm,30,30,0,3
0,Farm,30,30,0,2
0,Farm,30,30,0,7
0,Farm,30,30,0,9
0,Farm,30,30,0,1
0,Farm,30,30,0,8
0,Farm,30,30,0,0
0,Farm,30,30,0,6
0,Farm,30,30,0,5
1,Farm,30,30,0,4
1,Farm,30,30,0,3
1,Farm,30,30,0,2
1,Farm,30,30,0,7
1,Farm,30,30,0,9
1,Farm,30,30,0,1
1,Farm,30,30,0,8
1,Farm,30,30,0,0
1,Farm,30,30,0,6
1,Farm,30,30,0,5
2,Farm,30,30,0,4
2,Farm,30,30,0,3
2,Farm,30,30,0,7
2,Farm,30,30,0,9
2,Farm,30,30,0,1
2,Farm,30,30,0,8
2,Farm,30,30,0,0
2,Farm,30,30,0,6
3,Farm,30,30,0,3
3,Farm,30,30,0,7
3,Farm,30,30,0,9
3,Farm,30,30,0,1
3,Farm,30,30,0,0
3,Farm,30,30,0,6
4,Farm,30,30,0,3
4,Farm,30,30,0,7
4,Farm,30,30,0,9
4,Farm,30,30,0,0
