tick,agent_id,cash,food,grain
0,1,100,11,20
0,6,100,6,28
0,4,100,15,34
0,0,100,1,15
0,5,100,23,29
0,7,100,6,15
0,2,100,7,21
0,9,100,12,15
0,8,100,21,36
0,3,100,22,23
1,1,100,6,30
1,6,100,1,38
1,4,100,10,44
1,0,45,1,25
1,5,111,17,39
1,7,100,1,25
1,2,100,2,31
1,9,133,4,25
1,8,111,15,46
1,3,100,17,33
2,1,92,2,40
2,6,52,2,48
2,4,124,2,54
2,5,167,5,49
2,7,52,2,35
2,2,60,2,41
2,9,109,2,35
2,8,151,5,56
2,3,148,6,43
3,1,92,0,50
3,6,52,0,58
3,4,124,0,64
3,5,167,0,59
3,7,52,0,45
3,2,60,0,51
3,9,109,0,45
3,8,151,0,66
3,3,148,1,53
