tick,agent_id,utility,food_consumed
0,1,190,16
0,6,190,11
0,4,190,20
0,0,190,6
0,5,190,28
0,7,190,11
0,2,190,12
0,9,190,17
0,8,190,26
0,3,190,27
1,1,190,11
1,6,190,6
1,4,190,15
1,0,190,6
1,5,190,22
1,7,190,6
1,2,190,7
1,9,190,9
1,8,190,20
1,3,190,22
2,1,190,7
2,6,190,7
2,4,190,7
2,0,60,1
2,5,190,10
2,7,190,7
2,2,190,7
2,9,190,7
2,8,190,10
2,3,190,11
3,1,95,2
3,6,95,2
3,4,95,2
3,5,190,5
3,7,95,2
3,2,95,2
3,9,95,2
3,8,190,5
3,3,190,6
4,1,0,0
4,6,0,0
4,4,0,0
4,5,0,0
4,7,0,0
4,2,0,0
4,9,0,0
4,8,0,0
4,3,60,1
